group,n,mean,median,mode,variance,standard_deviation,minimum,q1,q3,maximum,iqr
Forwards,40.0,1.16825,1.205,0.0,0.529148141025641,0.7274256945046972,0.0,0.7,1.6724999999999999,2.98,0.9724999999999999
Midfielders,40.0,0.54325,0.475,0.0,0.28642249999999997,0.5351845476095138,0.0,0.11249999999999999,0.7275,1.91,0.615
